Midpoint,Year_BP,Year_CE,type,d15N,d13C,N% ,C%,Al ,Sb,As,Ba ,Be ,Bi ,Cd ,Ca,Cr ,Co ,Cu,Pb,Li ,Mg ,Mn ,Hg ,Mo ,Ni ,P ,K,Se ,Ag,Na,Sr,Tl,Ti ,T ,U ,V ,Y ,Zn 
0,-64,2014,Peat ,6.235272789,-24.47524432,2.791,36.868,180,0,0.96,16,0,0,0.24,12000,0.74,0.35,6.1,2,0,4100,32,0.18,0.43,1,1100,1600,0,0,7700,100,0.058,0,19,0.11,1.6,0.15,54
2.5,-23,1973,Peat ,6.349932996,-28.95924894,3.06,36.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5,22,1928,Peat ,NA,NA,NA,NA,160,0,0.79,6.8,0,0,0.18,7600,0.51,0.19,5.2,2.4,0,2800,14,0.23,0.43,0.95,920,1000,0,0,5000,61,0.052,0,19,0.19,0,0.13,29
4.5,62,1888,Peat ,9.787709806,-28.07583907,4.013,36.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.5,79,1871,Peat ,NA,NA,NA,NA,210,0,0.8,9.6,0,0,0.35,9100,0.53,0.22,4.4,0.55,0,3000,12,0.14,0.41,0.86,890,960,0,0,5100,77,0.048,0,17,0.14,1.6,0.27,18
6.5,94,1856,Peat ,5.767499735,-28.47257404,3.256,34.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.5,123,1827,Peat ,7.970396268,-28.93426563,3.03,31.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,151,1799,Peat ,8.65023997,-26.16811346,3.445,36.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,180,1770,Peat ,7.264170572,-27.0015567,3.509,36.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,208,1742,Peat ,9.976442536,-29.02320621,3.273,33.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,237,1713,Peat ,12.19557414,-28.01887712,3.441,34.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,265,1685,Peat ,13.4974241,-26.07317687,3.164,30.751,2000,0,3.4,18,0.029,0,0.98,14000,8.4,2.3,23,0.67,5,2000,43,0,3.5,4.6,880,150,2,0,460,69,0.045,0,190,0.71,53,1.5,28
20,294,1656,Peat ,12.62174482,-27.68709875,3.55,34.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,323,1627,Peat ,11.7004044,-26.62980504,3.568,38.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,350,1600,Peat ,10.3782606,-28.86031503,3.433,34.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,379,1571,Peat ,10.26258571,-28.69642451,3.424,34.375,1200,0,3.2,27,0.1,0,0.54,20000,2.3,1.8,35,0.73,0,1300,86,0.08,3,5.1,1100,200,3.6,0,530,120,0,0,77,0.66,28,0.9,39
